proportion_alive,ending_age,proportion_died,past_10_proportion_died_sum,age_range,proportion_dead_so_far
0.988115,10,0.00012999999999996348,0.0028000000000000247,0-10,0.0028000000000000247
0.983855,20,0.0007800000000000029,0.00490999999999997,10-20,0.007709999999999995
0.975615,30,0.0009550000000000392,0.008415000000000061,20-30,0.016125000000000056
0.96339,40,0.0016249999999999876,0.01289499999999999,30-40,0.029020000000000046
0.94261,50,0.0027649999999999064,0.02191999999999994,40-50,0.050939999999999985
0.90293,60,0.005955000000000044,0.042870000000000075,50-60,0.09381000000000006
0.81105,70,0.013210000000000055,0.09913499999999997,60-70,0.19294500000000003
0.639275,80,0.022675,0.18123999999999996,70-80,0.374185
0.335525,90,0.03495999999999999,0.316035,80-90,0.6902200000000001
0.06658,100,0.013569999999999999,0.24755500000000008,90-100,0.9377750000000001
